X.1,X,etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
1,1,1,2013-11-26 22:30:07.971327,020       ,2006-01-01 00:00:00,日商瑞穗實業銀行,0,0,0,0,0,0,0,0,0,0
2,2,2,2013-11-26 22:30:07.974241,N000      ,2006-01-01 00:00:00,台北縣淡水第一信用合作社,9924,1.6873e+10,173,1.83e+08,2,1e+06,953,3.72e+08,1101,3.09e+08
3,3,3,2013-11-26 22:30:07.979319,809       ,2006-01-01 00:00:00,萬泰商業銀行,4051,5.624e+09,1329,1.471e+09,3128,9.26e+08,0,0,1697098,7.6111e+10
4,4,4,2013-11-26 22:30:07.995118,146       ,2006-01-01 00:00:00,台中市第二信用合作社,11167,1.8949e+10,118,9.7e+07,11,0,0,0,1027,3.99e+08
5,5,5,2013-11-26 22:30:08.015108,115       ,2006-01-01 00:00:00,基隆市第二信用合作社,1551,3.773e+09,336,4.7e+08,178,4.7e+07,0,0,2295,5.15e+08
6,6,6,2013-11-26 22:30:08.052642,N005      ,2006-01-01 00:00:00,高雄第三信用合作社,1903,2.476e+09,7828,1.1257e+10,0,0,984,5.8e+08,2866,9.46e+08
7,7,7,2013-11-26 22:30:08.229513,803       ,2006-01-01 00:00:00,聯邦商業銀行,35924,6.4191e+10,11682,2.1458e+10,49817,1.5844e+10,277,6.1e+07,377762,1.3496e+10
8,8,8,2013-11-26 22:30:08.231682,114       ,2006-01-01 00:00:00,基隆市第一信用合作社,5351,7.501e+09,1192,8.81e+08,0,0,0,0,5281,2.681e+09
9,9,9,2013-11-26 22:30:08.056627,222       ,2006-01-01 00:00:00,澎湖縣第一信用合作社,62,1.44e+08,22,3.9e+07,0,0,0,0,172,7.9e+07
10,10,10,2013-11-26 22:30:08.23386,N012      ,2006-01-01 00:00:00,法國東方匯理銀行,10,4.1e+07,0,0,0,0,0,0,0,0
11,11,11,2013-11-26 22:30:08.23582,N013      ,2006-01-01 00:00:00,英商巴克萊銀行,0,0,0,0,0,0,0,0,0,0
12,12,12,2013-11-26 22:30:08.01712,162       ,2006-01-01 00:00:00,彰化第六信用合作社,2579,3.666e+09,955,9.27e+08,0,0,0,0,5336,4.98e+08
13,13,13,2013-11-26 22:30:08.058833,216       ,2006-01-01 00:00:00,花蓮第二信用合作社,4009,6.787e+09,6424,1.0821e+10,0,0,2248,1.034e+09,104,8e+06
14,14,14,2013-11-26 22:30:08.237887,052       ,2006-01-01 00:00:00,新竹國際商業銀行,37839,7.4865e+10,11254,1.644e+10,406,1.09e+08,2,1e+06,220777,5.8937e+10
15,15,15,2013-11-26 22:30:08.239982,090       ,2006-01-01 00:00:00,加拿大商豐業銀行,0,0,0,0,0,0,0,0,0,0
16,16,16,2013-11-26 22:30:08.061678,005       ,2006-01-01 00:00:00,臺灣土地銀行,296778,4.36877e+11,55380,6.0249e+10,280,2.16e+08,128337,5.8846e+10,73248,6.897e+09
17,17,17,2013-11-26 22:30:08.242013,013       ,2006-01-01 00:00:00,國泰世華商業銀行,134869,2.41431e+11,7173,1.0471e+10,42086,3.845e+09,0,0,362681,3.2099e+10
18,18,18,2013-11-26 22:30:08.24426,095       ,2006-01-01 00:00:00,美商美聯銀行,0,0,0,0,0,0,0,0,0,0
19,19,19,2013-11-26 22:30:07.998003,N001      ,2006-01-01 00:00:00,高雄第二信用合作社,2807,4.869e+09,469,3.6e+08,1,0,2582,1.273e+09,18768,4.383e+09
20,20,20,2013-11-26 22:30:08.019504,812       ,2006-01-01 00:00:00,台新國際商業銀行,90042,1.86412e+11,256,6.2e+07,74794,2.3341e+10,1,0,670400,1.24874e+11
21,21,21,2013-11-26 22:30:08.063728,083       ,2006-01-01 00:00:00,英商渣打銀行,5439,1.2447e+10,0,0,0,0,0,0,13663,1.856e+09
22,22,22,2013-11-26 22:30:08.246215,015       ,2006-01-01 00:00:00,中國輸出入銀行,0,0,0,0,0,0,0,0,0,0
23,23,23,2013-11-26 22:30:08.248265,N014      ,2006-01-01 00:00:00,新竹市第三信用合作社,2684,5.406e+09,349,2.77e+08,0,0,0,0,1972,6.29e+08
24,24,24,2013-11-26 22:30:08.065749,024       ,2006-01-01 00:00:00,美國運通銀行,0,0,1,1e+06,0,0,0,0,45739,7.842e+09
25,25,25,2013-11-26 22:30:08.252393,072       ,2006-01-01 00:00:00,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
26,26,26,2013-11-26 22:30:08.254581,N015      ,2006-01-01 00:00:00,臺中商業銀行,28494,5.0196e+10,1120,5.05e+08,10,9e+06,4179,3.167e+09,174478,1.2089e+10
27,27,27,2013-11-26 22:30:08.021895,082       ,2006-01-01 00:00:00,法商法國巴黎銀行,21,9e+07,0,0,0,0,0,0,19,6e+06
28,28,28,2013-11-26 22:30:08.070244,N006      ,2006-01-01 00:00:00,澳商澳洲紐西蘭銀行,3,8e+06,0,0,0,0,0,0,0,0
29,29,29,2013-11-26 22:30:08.257386,009       ,2006-01-01 00:00:00,彰化商業銀行,67320,1.23891e+11,39512,7.2282e+10,0,0,1612,5.99e+08,19160,9.165e+09
30,30,30,2013-11-26 22:30:08.259727,N016      ,2006-01-01 00:00:00,嘉義巿第四信用合作社,95,3.12e+08,8,4e+06,0,0,0,0,0,0
31,31,31,2013-11-26 22:30:08.07236,161       ,2006-01-01 00:00:00,彰化第五信用合作社,531,8.58e+08,11,1.5e+07,0,0,0,0,17,6e+06
32,32,32,2013-11-26 22:30:08.261707,099       ,2006-01-01 00:00:00,比利時商比利時聯合銀行,11,3.4e+07,0,0,0,0,0,0,0,0
33,33,33,2013-11-26 22:30:08.263765,050       ,2006-01-01 00:00:00,臺灣中小企業銀行,78176,1.23931e+11,7783,1.3836e+10,0,0,16401,8.756e+09,49134,3.0423e+10
34,34,34,2013-11-26 22:30:07.984318,320       ,2006-01-01 00:00:00,法商佳信銀行,0,0,0,0,0,0,0,0,254976,1.62e+09
35,35,35,2013-11-26 22:30:08.000163,805       ,2006-01-01 00:00:00,遠東國際商業銀行,37827,7.947e+10,13123,2.4721e+10,21070,4.76e+09,16758,5.867e+09,123492,1.6404e+10
36,36,36,2013-11-26 22:30:08.026021,165       ,2006-01-01 00:00:00,彰化縣鹿港信用合作社,1066,1.569e+09,690,9.35e+08,0,0,0,0,1081,2.63e+08
37,37,37,2013-11-26 22:30:08.074395,025       ,2006-01-01 00:00:00,菲律賓首都銀行,0,0,0,0,0,0,0,0,569,3.8e+07
38,38,38,2013-11-26 22:30:08.265919,104       ,2006-01-01 00:00:00,台北市第五信用合作社,1324,3.023e+09,13,1e+06,0,0,0,0,1646,3.99e+08
39,39,39,2013-11-26 22:30:08.268137,N017      ,2006-01-01 00:00:00,宜蘭信用合社,699,1.139e+09,311,3.92e+08,0,0,0,0,448,3.8e+07
40,40,40,2013-11-26 22:30:08.078519,807       ,2006-01-01 00:00:00,建華商業銀行,78800,1.64911e+11,15449,2.1172e+10,9719,3.983e+09,0,0,25570,1.3777e+10
41,41,41,2013-11-26 22:30:08.270198,102       ,2006-01-01 00:00:00,華泰商業銀行,3524,1.4938e+10,4555,1.4684e+10,0,0,0,0,7241,2.74e+09
42,42,42,2013-11-26 22:30:08.272343,N018      ,2006-01-01 00:00:00,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
43,43,43,2013-11-26 22:30:08.028015,016       ,2006-01-01 00:00:00,高雄銀行,20275,3.4956e+10,3755,7.398e+09,0,0,0,0,45630,6.575e+09
44,44,44,2013-11-26 22:30:08.080786,087       ,2006-01-01 00:00:00,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
45,45,45,2013-11-26 22:30:08.274452,381       ,2006-01-01 00:00:00,交通銀行,21624,5.0406e+10,4053,1.1952e+10,2832,1.148e+09,157,4.4e+07,6453,6.116e+09
46,46,46,2013-11-26 22:30:08.276392,103       ,2006-01-01 00:00:00,臺灣新光商業銀行,15476,4.0966e+10,568,9.3e+08,25440,6.819e+09,0,0,247876,3.7096e+10
47,47,47,2013-11-26 22:30:08.082863,188       ,2006-01-01 00:00:00,台南第三信用合作社,2918,5.107e+09,101,8e+07,0,0,0,0,5502,1.47e+08
48,48,48,2013-11-26 22:30:08.278481,321       ,2006-01-01 00:00:00,日商三井住友銀行,0,0,0,0,0,0,0,0,0,0
49,49,49,2013-11-26 22:30:08.280622,004       ,2006-01-01 00:00:00,臺灣銀行,95642,1.73705e+11,23184,3.075e+10,0,0,18956,8.777e+09,2404058,1.27122e+11
50,50,50,2013-11-26 22:30:08.00205,N002      ,2006-01-01 00:00:00,中國國際商業銀行,34149,8.0623e+10,11289,1.8899e+10,44,2e+06,9040,5.313e+09,9668,3.0965e+10
51,51,51,2013-11-26 22:30:08.031724,127       ,2006-01-01 00:00:00,桃園信用合作社,0,0,0,0,0,0,0,0,481,2.35e+08
52,52,52,2013-11-26 22:30:08.085424,139       ,2006-01-01 00:00:00,苗栗縣竹南信用合作社,3194,4.572e+09,875,6.56e+08,0,0,0,0,1014,6.3e+07
53,53,53,2013-11-26 22:30:08.282693,158       ,2006-01-01 00:00:00,彰化第一信用合作社,1030,1.744e+09,241,2.44e+08,0,0,0,0,7,2e+06
54,54,54,2013-11-26 22:30:08.284594,076       ,2006-01-01 00:00:00,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
55,55,55,2013-11-26 22:30:08.087467,215       ,2006-01-01 00:00:00,花蓮第一信用合作社,2538,4.367e+09,1465,2.112e+09,0,0,201,8.4e+07,2343,7.27e+08
56,56,56,2013-11-26 22:30:08.286523,079       ,2006-01-01 00:00:00,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
57,57,57,2013-11-26 22:30:08.289478,147       ,2006-01-01 00:00:00,三信商業銀行,5388,1.5515e+10,2001,4.782e+09,9206,3.926e+09,0,0,19555,1.0806e+10
58,58,58,2013-11-26 22:30:08.033819,012       ,2006-01-01 00:00:00,台北富邦銀行,113624,1.92637e+11,5684,7.953e+09,5263,2.15e+09,257,5.9e+07,358831,5.1487e+10
59,59,59,2013-11-26 22:30:08.089764,078       ,2006-01-01 00:00:00,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
60,60,60,2013-11-26 22:30:08.291786,151       ,2006-01-01 00:00:00,第七商業銀行,5781,1.0932e+10,1956,2.507e+09,15,8e+06,0,0,221,5e+06
61,61,61,2013-11-26 22:30:08.293954,085       ,2006-01-01 00:00:00,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
62,62,62,2013-11-26 22:30:08.091782,092       ,2006-01-01 00:00:00,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
63,63,63,2013-11-26 22:30:08.296091,816       ,2006-01-01 00:00:00,安泰商業銀行,21553,4.7331e+10,9544,2.0016e+10,16690,4.704e+09,381,4.8e+07,69563,3.3422e+10
64,64,64,2013-11-26 22:30:08.298283,N019      ,2006-01-01 00:00:00,香港東亞銀行,0,0,0,0,0,0,0,0,764,2.69e+08
65,65,65,2013-11-26 22:30:07.976752,040       ,2006-01-01 00:00:00,中華開發工業銀行,10,2.6e+07,0,0,0,0,0,0,79,3.2e+07
66,66,66,2013-11-26 22:30:07.986721,008       ,2006-01-01 00:00:00,華南商業銀行,79290,1.8849e+11,30347,2.4399e+10,8555,3.961e+09,8379,3.731e+09,279736,2.3126e+10
67,67,67,2013-11-26 22:30:08.004201,163       ,2006-01-01 00:00:00,彰化第十信用合作社,834,1.116e+09,5,3e+06,0,0,0,0,14,2e+06
68,68,68,2013-11-26 22:30:08.035829,023       ,2006-01-01 00:00:00,泰國盤谷銀行,3,2e+06,0,0,0,0,0,0,0,0
69,69,69,2013-11-26 22:30:08.093797,108       ,2006-01-01 00:00:00,陽信商業銀行,20903,4.0404e+10,4355,7.458e+09,4,2e+06,0,0,29820,6.884e+09
70,70,70,2013-11-26 22:30:08.300343,808       ,2006-01-01 00:00:00,玉山商業銀行,38904,1.2126e+11,38811,8.151e+10,0,0,24,2e+06,211364,2.2793e+10
71,71,71,2013-11-26 22:30:08.302045,-01       ,2006-01-01 00:00:00,寶華商業銀行,14893,1.9104e+10,14487,1.7016e+10,12381,3.642e+09,8,9e+06,115033,1.1932e+10
72,72,72,2013-11-26 22:30:08.097937,178       ,2006-01-01 00:00:00,嘉義市第三信用合作社,947,1.279e+09,697,1.728e+09,0,0,0,0,932,4.84e+08
73,73,73,2013-11-26 22:30:08.037808,N003      ,2006-01-01 00:00:00,臺南區中小企業銀行,15664,2.5684e+10,7655,1.0447e+10,5,1e+06,2,1e+06,11020,4.958e+09
74,74,74,2013-11-26 22:30:08.10034,815       ,2006-01-01 00:00:00,日盛國際商業銀行,30939,4.9123e+10,6129,1.2236e+10,57793,2.2525e+10,0,0,143195,2.3654e+10
75,75,75,2013-11-26 22:30:08.102614,098       ,2006-01-01 00:00:00,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
